name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glud-ps,21.775523384906716,1.762263924634276,0.5168775578662084,3.409441748466144,0.0006509597810808329,0.005498034409992071
Chml,35.41644762867268,0.4248828098169581,0.42234211584895315,1.0060157248653687,0.31440800586719975,0.49890202586413124
Gm44117,24.561767181234764,-2.103598380215465,0.543967268848222,-3.867141463620695,0.00011011855545906056,0.001329611861879891
Tcea1-ps1,45.923648963360684,0.1638303706444033,0.47488110971807584,0.3449923934469935,0.7301000892375489,0.8404576528845581
Tcaf1,50.486432540861436,0.747566259319257,0.3931163859541461,1.9016410560063877,0.057218096670380886,0.15530190136641528
Dhx33,263.3148187698779,0.01453298160388721,0.19331952739756747,0.07517596281931567,0.9400747091166082,0.967002777551909
Slc25a36,43.60578884636609,0.08058518173830805,0.5189061622626324,0.15529817835834778,0.8765862516525957,0.9316475886296599
Gm48603,11.954384389665412,3.2937282855330605,1.0351385384558447,3.1819202581776533,0.0014630209375559777,0.01029918152628198
Gm43660,12.626019077296673,0.057373892332989805,0.7225092349628072,0.07940921659768578,0.9367071380086502,0.9650347198790347
AI839979,3.755012461185423,1.9016418572831244,1.3881091859810168,1.369951208801474,0.17070213278380097,0.3315792044344017
Sirt5,206.86644450615026,-1.0945785692938903,0.27898459542398785,-3.9234373053121465,8.729448976447088e-05,0.0010955720509898497
Raet1d,269.49257364732114,1.542101767166815,0.48085537707195075,3.206997032157694,0.001341283795875187,0.009678805339313052
Abracl,109.46551450929658,0.29028780348591526,0.2996450674851475,0.9687721740999589,0.33265887290433727,0.5172735321717774
Nt5dc3,235.85078582846128,0.07447951190323915,0.21100917217783208,0.3529681251982264,0.7241123368811987,0.8370372252882569
Bcl2a1d,6.698190297975054,2.972474445474404,1.2049026003260235,2.4669831774536046,0.013625675881038314,0.055072845682311106
Gm28818,19.786507178267623,-0.6240076246230608,0.680300147562481,-0.9172534018387081,0.3590098693028888,0.5436262154281862
Aff3,5.931004602047079,1.9779067812676745,1.0999684351659516,1.7981486723019184,0.07215345090041062,0.1823297529127492
Myom3,18.472891713858935,1.7170158940636027,0.9513871234918228,1.804749982070112,0.07111381457603994,0.18040874967744708
Prmt9,198.20053316166278,-0.12516781523315035,0.22100064259735247,-0.5663685578561745,0.5711432642067995,0.7272474969401114
Herc1,454.01272721146086,0.48764737798148833,0.17338261813376124,2.8125505499362,0.004915029738843669,0.02585769868122443
Gm4468,1.4311176938683188,-0.38616188277576663,4.451556761136808,-0.08674760392747442,0.9308721365452433,
Poll,112.83901143703068,-0.6515314061607211,0.24462208928779167,-2.6634201680544516,0.007735076331962362,0.036143642496194464
Gm32687,9.361269408920394,-0.9203527494411634,0.9167674221881049,-1.003910836234234,0.31542159295447547,0.49970566986738607
Gm31583,723.8487511238067,-2.089765309967501,0.5213988070280551,-4.007997873794628,6.12356715128088e-05,0.0008389396935623769
Steap2,249.15862778562152,1.3055217848242389,0.3252140234609733,4.014346524576932,5.961071610076948e-05,0.0008225847641319564
Steap1,3.889504255546127,2.160957965162495,1.4093944382194468,1.5332527974869359,0.12521357997018523,0.26910824400741856
Esr1,266.0646287138625,1.7374412532708325,0.3419877250727833,5.080419927063355,3.7660145159015834e-07,1.4813637510744837e-05
Kazald1,21.42305756282427,-1.0779061910080667,0.6607420275595346,-1.6313570895275682,0.10281499365314238,0.23354993317341266
Krt10,26.93581096644472,-0.5813347487172108,0.43726942090440707,-1.3294658188419226,0.1836943355320424,0.34891635953827393
Iyd,1447.8347840126507,0.009032761596428067,0.22275471861844245,0.04055025928272399,0.9676544388524596,0.9825255835118248
Asb2,33.65498240374107,1.0978004561920471,0.5972015008027807,1.8382412882692736,0.06602685825673542,0.1714361876002545
Otub2,31.833536586206655,0.206619822819592,0.4363561363764115,0.4735118991001347,0.6358480137143139,0.7737839523224906
Ppp4r4,234.19201505262643,1.1620556506332895,0.3931648953172784,2.9556444750631345,0.0031201652535538106,0.018273201112716138
Ifi27l2b,301.5995029589742,0.8830094244467711,0.462032401968067,1.9111417742251757,0.055986364017704585,0.15307486342497445
Pdlim1,422.60022793950486,0.6416208387081316,0.25250189888371893,2.541053518982081,0.011051900078588537,0.047089363204751045
Bcl6b,24.003362215067796,0.93300829531061,0.5142043497054306,1.814469861729286,0.06960541862136076,0.17776403932382995
Vps36,417.9389790726403,0.1854829969115282,0.25401693729190256,0.7301993280014284,0.4652683532649754,0.6406864800417833
Nek3,32.56275931691285,-1.0899412235293555,0.5009394004765511,-2.1757945621615677,0.029570625488589034,0.09749855117341578
Tspyl4,23.208963558612098,0.17689287645319274,0.7049390814083099,0.25093356450007076,0.8018654737275785,0.8873368530644067
N4bp2os,20.557966871617293,-0.6966381898205771,0.49965122633523845,-1.394248934261939,0.16324244563604118,0.32147176842545294
Zfp27,72.51252154504333,-0.17516739738330264,0.296673526582429,-0.5904382484044575,0.5548968741985496,0.715031753969796
Rlim,524.7681875673595,0.544672384391121,0.2237114288889415,2.4347096931802987,0.014903741573740735,0.058805817967536485
Pign,143.49160565339483,0.16067767603798172,0.2675433209211772,0.6005669492505107,0.5481284569006959,0.7099163237423222
Pepd,629.9918804474875,-0.29974517624086816,0.2847483006610817,-1.0526671293383285,0.29249357884627447,0.47601162298484123
Atad3a,1060.3586433599276,-0.7134584157051873,0.1918837815862391,-3.718179878503879,0.00020066336969855412,0.002167391612412833
Ints11,139.51097322146876,0.33361823396937884,0.3104532963184482,1.0746164976363115,0.28254646254983584,0.4648345150494002
Acap3,55.075779582278095,-0.07113816351599977,0.4089242042981822,-0.173964179102802,0.8618936138591833,0.9231679651006285
Tprgl,676.7654065806323,-0.2736490955219198,0.22383584949908536,-1.222543645865083,0.22150210921695235,0.3959480580807846
Ssu72,397.7006805497998,0.49668825285200086,0.2647700613548303,1.8759230190545093,0.06066585128006987,0.16181094411681693
Gm42614,3.4857385195923687,-2.0533336305822334,2.070999343342029,-0.9914699573340819,0.32145615504096103,0.5055192002303088
Casp4,23.283562243106303,1.0242738500956672,0.49046578003590896,2.088369651437611,0.03676450290577581,0.11372108701823073
